"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LRPAP1",0,0.741780254457755,0.504,0.32,0
"MARCHF1",0,0.807450012072061,0.448,0.25,0
"SCARB2",0,0.579309242489096,0.378,0.134,0
"ATP5ME",0,0.661012279938931,0.735,0.536,0
"RASSF6",0,2.95905328591274,0.187,0.022,0
"CXCL8",0,-0.705473874176366,0.457,0.888,0
"LAP3",0,0.80230267562718,0.551,0.266,0
"TXK",0,-0.845369444513945,0.325,0.634,0
"TBC1D9",0,0.920139908157717,0.408,0.113,0
"SRP72",0,0.500022689498535,0.582,0.377,0
"HNRNPDL",0,0.473115985208139,0.731,0.536,0
"SUB1",0,1.03308465436311,0.821,0.62,0
"GOLPH3",0,0.543509058265571,0.615,0.402,0
"COX7C",0,0.867126382695481,0.833,0.623,0
"SNX2",0,0.437479055048337,0.545,0.329,0
"CTNNA1",0,0.545941918135198,0.481,0.236,0
"SH3PXD2B",0,1.17251217056975,0.226,0.07,0
"SIL1",0,0.721389212824987,0.489,0.279,0
"CSF1R",0,0.632652947193519,0.259,0.086,0
"MZB1",0,3.426708872566,0.353,0.076,0
"NDUFS6",0,0.689132934292442,0.618,0.383,0
"NDUFA2",0,0.563978005517621,0.592,0.386,0
"REEP5",0,0.778238857643678,0.631,0.447,0
"MGAT1",0,0.67554486861437,0.605,0.403,0
"ATOX1",0,0.759754687400673,0.575,0.331,0
"CANX",0,0.56430543369587,0.743,0.563,0
"RPS14",0,1.0685397335422,0.925,0.863,0
"SLC1A3",0,2.01379742803929,0.293,0.064,0
"SMIM3",0,0.633597511567825,0.314,0.082,0
"RPS23",0,0.997707830125206,0.918,0.861,0
"RACK1",0,1.15118243514508,0.885,0.712,0
"PRELID1",0,1.02311997318392,0.74,0.49,0
"UQCRQ",0,0.851122795997749,0.656,0.425,0
"HRH2",0,0.757364697993103,0.306,0.116,0
"BTF3",0,0.601323941945943,0.823,0.629,0
"GAPT",0,0.606828476532085,0.278,0.108,0
"CD74",0,1.05197302387765,0.845,0.79,0
"LMAN2",0,0.721901170057456,0.622,0.412,0
"DAB2",0,0.429318809039434,0.189,0.053,0
"RPL37",0,0.935547924849386,0.931,0.894,0
"HIGD2A",0,0.619467792938775,0.62,0.358,0
"TMED9",0,0.840181146215989,0.533,0.332,0
"B4GALT7",0,0.309831529936905,0.199,0.062,0
"TBCA",0,0.573752397003341,0.736,0.519,0
"UBE2D2",0,0.473832571132861,0.774,0.603,0
"IL6ST",0,1.03204683387799,0.574,0.291,0
"TRIO",0,0.649517205707312,0.631,0.426,0
"DAP",0,0.53135412481805,0.476,0.276,0
"GLRX",0,0.925915767985195,0.588,0.323,0
"MEF2C",0,0.829476986803118,0.507,0.282,0
